Text,Sentiment,PositiveCount,NegativeCount
Is it me or Alyen kinda looks like Yoonchae from KATSEYE,중립,0,0
OMG the first one is really impressive! Thanks for sharing 💗,중립,0,0
You two are funny. The guy is the most funny and it’s super cute when the woman laughs at his jokes. Thanks you two! I subbed.,중립,0,0
NGL u look like yoonchae from katseye🎀,중립,0,0
SHE LOOKS SO CUTE WHEN SHE SIGNS “no” 🥺🥺🥺🥺,중립,0,0
"Its is more practical  ,i 'll try it ..",중립,0,0
"I can wear eyeliner again, thank you! I could never wear it without raccoon eyes at the end of the day",중립,0,0
I bought the tri tri red foundation and the clear pimple exposing mask and now I use it everyday I love it,긍정,1,0
"Pimple patches are meant to treat the acne, not as a buffer under foundation....dont put makeup over them.",중립,0,0
Cool. Magic sealer and layer. 👌,중립,0,0
WOW 😳😲😊😍🥰❤ so beautiful,중립,0,0
Why are you so pretty 😂😂😂,중립,0,0
QUEEEEN!! 😲👏🏽👏🏽✨️💖💖💖,중립,0,0
"At the first ,you looked like yoonchae from katseyee❤",중립,0,0
"💕I’ll leave the links to both products in the Linktree on my profile.

🇰🇷Medicube-Collagen Night Wrapping Mask
https://www.yesstyle.com/en/medicube-collagen-night-wrapping-mask-75ml/info.html/pid.1124066780?rco=POYU0330&utm_term=POYU0330&utm_medium=Influencer&mcg=influencer

🇯🇵BCL-Momo Puri Peach Fresh Pack Mask
https://www.yesstyle.com/en/bcl-momo-puri-peach-fresh-pack-mask-12g/info.html/pid.1120756149?rco=POYU0330&utm_term=POYU0330&utm_medium=Influencer&mcg=influencer",중립,0,0
"I have the Japanese one! It's great if you don't have sensitive skin, it makes your skin smell very nice for a while.",긍정,1,0
I have the japanese one and its really good for my skin i love it,긍정,2,0
Why no one compare the price ?!,중립,0,0
"korean one is ALOT more expensive than the Japanese one, if your looking for an affordable one choose the Japanese one",중립,0,0
So technically the Japanese one is moisturising are the Korean one is hydrating❤❤,중립,0,0
Please keep this series up! 🙏❤,중립,0,0
both💞💖,중립,0,0
In japan in simple cities or drugstores you cant even find a peel off mask ! I barely found one for my aunt,중립,0,0
